Date,pairwise_strategy_returns,hml_strategy_returns,pairwise_cumulative_returns,hml_cumulative_returns
1998-12-31,0.0,0.0,0.0,0.0
1999-01-29,-0.023709176987295244,-0.013123880010385149,-0.023709176987295244,-0.013123880010385114
1999-02-26,0.028781630376238265,0.02681356421817956,0.004390064620369838,0.013337786208344138
1999-03-31,0.0066141463219198116,0.016432614742186533,0.011033247472051366,0.02998957565280591
1999-04-30,0.011301643607332768,0.008458075105123024,0.02245958491014477,0.03870130484117129
1999-05-31,0.003030598683255281,0.00649638427030568,0.025558249581855152,0.0454491076594874
1999-06-30,-0.03694346890302125,-0.03269042421651558,-0.012329429719808993,0.011272932833320981
1999-07-30,-0.0,-0.0,-0.012329429719808993,0.011272932833320981
1999-08-31,-0.01181643639220642,-0.0029340081760328082,-0.024000176189979072,0.008305849780187335
1999-09-30,-0.026979602851669338,-0.01671939707652688,-0.05033226381967271,-0.008552416096872517
1999-10-29,-0.043615471540528805,-0.022959978212185206,-0.09175246994000419,-0.03131603102181202
1999-11-30,0.009734727922500852,0.014583405316119914,-0.08291092734858674,-0.017189320078975223
1999-12-31,0.021362520673289698,0.022183427913063387,-0.06331959307482282,0.0046127897912418
2000-01-31,0.00423193779914105,0.0034688840047295,-0.05935561985504134,0.008097675028695184
2000-02-29,-0.052992317858479965,-0.03530204428025557,-0.10920254583947575,-0.02749023373399051
2000-03-31,0.0,0.0,-0.10920254583947575,-0.02749023373399051
2000-04-28,-0.06092097096367144,-0.051508313692529874,-0.16347079167890144,-0.07758257184386896
2000-05-31,0.0,0.0,-0.16347079167890144,-0.07758257184386896
2000-06-30,0.005195155014188657,0.0033625090601036717,-0.15912489276777686,-0.07448093488449636
2000-07-31,-0.04523894706472342,-0.03141786035517889,-0.19716519723189907,-0.10355876362835104
2000-08-31,0.0,-0.0029767249734965247,-0.19716519723189907,-0.1062272226439307
2000-09-29,-0.007399653609506007,-0.0017641137294109946,-0.20310589667803913,-0.10780393947143829
2000-10-31,0.023586986601395576,0.018401373054301506,-0.18430956614025285,-0.09138630692407401
2000-11-30,0.08629999763393226,0.06197291589710635,-0.11391548362813553,-0.035076866940120466
2000-12-29,0.021849082389020058,0.01885561940736459,-0.09455535002629167,-0.01688264358578162
2001-01-31,0.0019280780124546482,-0.002298065616533885,-0.09280958210518264,-0.019141911779574805
2001-02-28,0.05383334900370862,0.036124592207486775,-0.043972483725830624,0.016291186670803315
2001-03-30,-0.00835190483465631,-0.00021361306200850475,-0.05195713456106532,0.016074093598526407
2001-04-30,-0.059512509784525935,-0.0320970301274476,-0.10837754486664997,-0.016538867195424523
2001-05-31,0.0,0.0,-0.10837754486664997,-0.016538867195424523
2001-06-29,0.028915181959319636,0.016267041283446162,-0.08259611933745381,-0.0005408643474277275
2001-07-31,-0.011602347584721784,0.0008814987284984643,-0.09324015803647334,0.0003401576098360781
2001-08-31,0.006530149465441504,-0.020171897032737043,-0.08731888073919136,-0.019838601047181492
2001-09-28,0.031864315076996164,0.027288157800375936,-0.05823692199023944,0.006908197877280253
2001-10-31,0.00605414235059154,0.010104038483359645,-0.052535354255437094,0.017082037057842614
2001-11-30,0.0643950935727311,0.04754351253961755,0.008476720264138482,0.06543768964052199
2001-12-31,0.011299896420233324,0.013152862583759459,0.019872402745339857,0.07945124516392177
2002-01-31,0.02687027195984637,0.023411103490057282,0.04727665157144911,0.10472238997692562
2002-02-28,0.004817765732630708,0.01343713702009667,0.05232218513597431,0.11956669610021442
2002-03-29,0.023160444156366644,0.011794786596948905,0.07669443433932166,0.1327717463617677
2002-04-30,0.01965082793696782,0.024158275066234018,0.09785237140921454,0.1601375577976334
2002-05-31,0.03636213521052323,0.01756490588152941,0.13777262777958987,0.18051526480997637
2002-06-28,-0.010008463712454674,-0.01292253605385596,0.12638527172143355,0.1652600137383422
2002-07-31,0.007616886870951856,0.008031062991438099,0.134964820909242,0.17461829031007903
